click_id,value_type,value
27a4af33-e943-4ad7-942a-5763e5c0f075,label,Earthquake
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,label,Earthquake
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,768921609147191300
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,769127839446728704
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,1024009148294422529
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,1061493022594977792
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,768541217902645248
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,769171213017092097
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,722034361370021888
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,722071804601307136
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,911625616130224128
3cca070b-e347-4cf7-b140-8e9cca4b0eb2,text_id,768501314355507200
e78ec61f-b5f4-48b3-89f5-c4676f77daf8,label,Hurricane
aa606984-4de8-487e-81ff-c83de9f989f3,label,Hurricane
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1167518580080070663
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1167577687218642944
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1168278810917294082
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1168285658865160193
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1167554629464408065
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1167539119909552128
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1168269140748111874
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1167830524708163586
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1167588983049773058
aa606984-4de8-487e-81ff-c83de9f989f3,text_id,1167611132632358914
62c1f8d1-c679-4dca-bd22-09a0178ade3b,label,Fire
77a0d104-6b34-4d75-bafe-03ce54a99eed,label,Fire
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1061764966997475329
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1061453391447183361
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1063424559590850560
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1062120186306813952
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1062368677100691456
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1062351528445571072
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1061575300935487488
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1062060632852164608
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1061700756103880704
77a0d104-6b34-4d75-bafe-03ce54a99eed,text_id,1066289011403182081
45eb3303-f7ae-4efb-8795-33d58056ea3f,label,Hurricane
d16cc09b-e1e1-448d-91c8-a66c905391b5,label,Hurricane
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,902657823624105987
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,902845868667273216
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,902655103718608896
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,902633813720911874
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,903744784191422465
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,902633790283030529
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,902646017232965637
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,903762261365456897
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,909461968645435392
d16cc09b-e1e1-448d-91c8-a66c905391b5,text_id,903748883137822720
64fe67fb-c2d4-463c-aefc-dd1d4f3702e3,label,Hurricane
64fe67fb-c2d4-463c-aefc-dd1d4f3702e3,text_id,914595709374140416
64fe67fb-c2d4-463c-aefc-dd1d4f3702e3,text_id,914160747604623361
